=== By Billing Country (top 20 by volume) ===
Country                     Won  Lost  Total  WinRt         WonVal
United States              1351  1225   2576  52.4% $  44,812,151
Germany                     333   286    619  53.8% $   4,315,958
United Kingdom              232   320    552  42.0% $   3,413,489
France                      246   280    526  46.8% $   3,636,856
Japan                       161   335    496  32.5% $   5,595,950
Switzerland                 310   150    460  67.4% $   2,924,707
Italy                       194   163    357  54.3% $   3,049,565
Spain                       121   167    288  42.0% $   1,793,965
Netherlands                 134    92    226  59.3% $   1,714,868
Australia                   102   102    204  50.0% $   1,036,028
Canada                       74   122    196  37.8% $   1,214,403
Sweden                       98    74    172  57.0% $   1,098,301
Denmark                      66    50    116  56.9% $     670,058
(none)                       46    58    104  44.2% $     456,146
Belgium                      56    45    101  55.4% $     625,277
Singapore                    55    43     98  56.1% $     972,999
Poland                       41    54     95  43.2% $   1,518,745
India                        21    71     92  22.8% $     316,386
Brazil                       41    44     85  48.2% $     986,520
Austria                      40    42     82  48.8% $     173,969

(total countries with deals: 108)
